location,sex,cause,age,RMSE_deaths_base,RMSE_prev_base,RMSE_deaths_cal,RMSE_prev_cal,base_err,cal_err,n_eval,n_par,hit_bound,bg_modified_rows,pct_improvement
Indonesia,Female,Rheumatic heart disease,20-24 years,64589.1756989411,542661.321095792,64916.7663237722,391653.593600746,2499.78608676234,1798.85594774718,401,32,FALSE,0,28.0396047776626
Indonesia,Female,Rheumatic heart disease,25-29 years,369.049127307667,56816.0522347093,505.581539593764,19205.51620718,2499.78608676234,1798.85594774718,401,32,FALSE,0,28.0396047776626
Indonesia,Female,Rheumatic heart disease,30-34 years,909.973720861468,40985.0976400709,1136.1595641962,18109.5559282175,2499.78608676234,1798.85594774718,401,32,FALSE,0,28.0396047776626
Indonesia,Female,Rheumatic heart disease,35-39 years,636.65339912052,29568.3159006882,607.680941681173,23650.3020251906,2499.78608676234,1798.85594774718,401,32,FALSE,0,28.0396047776626
Indonesia,Female,Rheumatic heart disease,40-44 years,2231.86454326691,22964.9759396208,2199.72414835572,25161.3906693725,2499.78608676234,1798.85594774718,401,32,FALSE,0,28.0396047776626
Indonesia,Female,Rheumatic heart disease,45-49 years,732.858774729998,19875.5414055487,613.060891128307,22535.0138843075,2499.78608676234,1798.85594774718,401,32,FALSE,0,28.0396047776626
Indonesia,Female,Rheumatic heart disease,50-54 years,713.507198611869,15905.3367973667,722.448619879954,16553.9923271932,2499.78608676234,1798.85594774718,401,32,FALSE,0,28.0396047776626
Indonesia,Female,Rheumatic heart disease,55-59 years,2279.96368821172,11984.2693788079,2248.64405389734,12194.0476479055,2499.78608676234,1798.85594774718,401,32,FALSE,0,28.0396047776626
Indonesia,Female,Rheumatic heart disease,60-64 years,4345.32586005967,8520.63425329469,4391.89393805068,8477.67573220544,2499.78608676234,1798.85594774718,401,32,FALSE,0,28.0396047776626
Indonesia,Female,Rheumatic heart disease,65-69 years,9049.3403490045,6131.90956248164,9077.3156179561,5853.98611494403,2499.78608676234,1798.85594774718,401,32,FALSE,0,28.0396047776626
Indonesia,Female,Rheumatic heart disease,70-74 years,16666.8153011245,5134.28450513025,16698.7281057068,4764.8118424923,2499.78608676234,1798.85594774718,401,32,FALSE,0,28.0396047776626
Indonesia,Female,Rheumatic heart disease,75-79 years,24381.9803843209,3818.95743859105,24394.9529719138,3444.46462602487,2499.78608676234,1798.85594774718,401,32,FALSE,0,28.0396047776626
Indonesia,Female,Rheumatic heart disease,80-84 years,31660.8190002225,2420.08782647436,31635.2819053705,2239.50913037812,2499.78608676234,1798.85594774718,401,32,FALSE,0,28.0396047776626
Indonesia,Female,Rheumatic heart disease,85-89 years,28242.7736013742,1078.74394857458,28235.5917796547,1057.14737459629,2499.78608676234,1798.85594774718,401,32,FALSE,0,28.0396047776626
Indonesia,Female,Rheumatic heart disease,90-94 years,15628.3285790115,287.579198259854,15634.6343440388,279.611949793361,2499.78608676234,1798.85594774718,401,32,FALSE,0,28.0396047776626
Indonesia,Female,Rheumatic heart disease,95+ years,11756.0765740029,58.3169482878421,11755.8580490526,60.7467324876577,2499.78608676234,1798.85594774718,401,32,FALSE,0,28.0396047776626
Indonesia,Male,Rheumatic heart disease,20-24 years,85972.0752580501,475138.721248056,86109.3315065575,356017.244276998,2388.69983444929,1768.77567506697,401,32,FALSE,0,25.9523674947315
Indonesia,Male,Rheumatic heart disease,25-29 years,1069.36379018159,50327.0726822311,1078.61786850014,20640.5719937061,2388.69983444929,1768.77567506697,401,32,FALSE,0,25.9523674947315
Indonesia,Male,Rheumatic heart disease,30-34 years,716.721622405878,37909.1876817549,794.556086253447,17766.8824452701,2388.69983444929,1768.77567506697,401,32,FALSE,0,25.9523674947315
Indonesia,Male,Rheumatic heart disease,35-39 years,603.461237523374,28475.8127728351,700.803885228746,16133.2982637487,2388.69983444929,1768.77567506697,401,32,FALSE,0,25.9523674947315
Indonesia,Male,Rheumatic heart disease,40-44 years,1797.57956304511,22377.1296046968,1794.65106880367,16145.427769761,2388.69983444929,1768.77567506697,401,32,FALSE,0,25.9523674947315
Indonesia,Male,Rheumatic heart disease,45-49 years,4483.3206661167,18939.5848256891,4450.58640199454,15689.9846534842,2388.69983444929,1768.77567506697,401,32,FALSE,0,25.9523674947315
Indonesia,Male,Rheumatic heart disease,50-54 years,4975.96263109291,14061.5188624792,4917.76867001336,12579.8621535801,2388.69983444929,1768.77567506697,401,32,FALSE,0,25.9523674947315
Indonesia,Male,Rheumatic heart disease,55-59 years,3863.08457793309,9413.63946953565,3828.6025475165,8750.24300307713,2388.69983444929,1768.77567506697,401,32,FALSE,0,25.9523674947315
Indonesia,Male,Rheumatic heart disease,60-64 years,7205.04280072363,5925.62588232023,7219.76691297483,5617.27804235931,2388.69983444929,1768.77567506697,401,32,FALSE,0,25.9523674947315
Indonesia,Male,Rheumatic heart disease,65-69 years,9335.33334492142,3752.88791096974,9327.0050122691,3743.03337960184,2388.69983444929,1768.77567506697,401,32,FALSE,0,25.9523674947315
Indonesia,Male,Rheumatic heart disease,70-74 years,13767.934363264,2806.21729525003,13764.2440193752,2916.54886558308,2388.69983444929,1768.77567506697,401,32,FALSE,0,25.9523674947315
Indonesia,Male,Rheumatic heart disease,75-79 years,20588.1543777667,1838.22018749482,20593.6414309544,1927.31446013244,2388.69983444929,1768.77567506697,401,32,FALSE,0,25.9523674947315
Indonesia,Male,Rheumatic heart disease,80-84 years,23326.5660470903,1003.56038151352,23342.1111757431,1002.56347563079,2388.69983444929,1768.77567506697,401,32,FALSE,0,25.9523674947315
Indonesia,Male,Rheumatic heart disease,85-89 years,17685.5319530423,367.988666508646,17687.1273682779,322.475617011987,2388.69983444929,1768.77567506697,401,32,FALSE,0,25.9523674947315
Indonesia,Male,Rheumatic heart disease,90-94 years,8290.41951927819,75.7307046205027,8285.50428125475,60.4181733448875,2388.69983444929,1768.77567506697,401,32,FALSE,0,25.9523674947315
Indonesia,Male,Rheumatic heart disease,95+ years,6879.61720490849,20.800410515534,6879.87781483117,20.9207995377966,2388.69983444929,1768.77567506697,401,32,FALSE,0,25.9523674947315
